entity_id,state,last_changed
sensor.shellypro3em_leistung,7.351,2026-06-06T22:55:26.586Z
sensor.shellypro3em_leistung,-9.858,2026-06-06T22:55:36.587Z
sensor.shellypro3em_leistung,2.507,2026-06-06T22:55:45.587Z
sensor.shellypro3em_leistung,0.538,2026-06-06T22:56:01.589Z
sensor.shellypro3em_leistung,2.372,2026-06-06T22:56:17.591Z
sensor.shellypro3em_leistung,2.49,2026-06-06T22:56:33.192Z
sensor.shellypro3em_leistung,-12.449,2026-06-06T22:56:38.592Z
sensor.shellypro3em_leistung,6.864,2026-06-06T22:56:54.590Z
sensor.shellypro3em_leistung,8.815,2026-06-06T22:56:59.614Z
sensor.shellypro3em_leistung,1.716,2026-06-06T22:57:15.605Z
sensor.shellypro3em_leistung,-11.608,2026-06-06T22:57:31.595Z
sensor.shellypro3em_leistung,10.11,2026-06-06T22:57:42.611Z
sensor.shellypro3em_leistung,-3.028,2026-06-06T22:57:52.602Z
sensor.shellypro3em_leistung,2.523,2026-06-06T22:58:07.606Z
sensor.shellypro3em_leistung,-2.305,2026-06-06T22:58:22.612Z
sensor.shellypro3em_leistung,-0.942,2026-06-06T22:58:37.618Z
sensor.shellypro3em_leistung,0.908,2026-06-06T22:58:52.624Z
sensor.shellypro3em_leistung,-4.811,2026-06-06T22:59:07.630Z
